空间环境特征_Place_Name,空间环境特征_Spatial_Features_Natural
宝塔桥,日落; 长江; 天空; 绿植
浦口火车站; 南京北站,
下关滨江; 夕Space落日餐厅; 中山码头; 京艺术中心,江景; 落日
,
浦口火车站,
无法判断,无法判断
浦口码头; 中山码头; 浦口码头民国风情街,长江; 江面; 雨; 风
中山码头; 浦口码头; 浦口火车站; 南京北站; 扬子江生态公园,长江; 江风
浦口火车站; 中山码头; 南京西站; 夜市,天气
中山码头; 浦口码头; 五马渡游轮码头; 燕子矶; 南京长江大桥; 二桥,长江; 风景; 江面
中山码头; 南京长江大桥; 下关火车主题公园; 江边路,江边; 长江
下关火车主题公园; 南京长江大桥; 南京西站,长江; 江面; 日落
浦口火车站; 中山码头; 浦口码头; 浦口公园; 扬子江公园,
南京长江微笑驿站,长江; 江豚; 黑鸢; 漩涡; 鱼群; 尾鳍
下关火车主题公园; 民国首都电厂旧址公园,长江; 日落; 天气; 江风
苜蓿园地铁站; 梧桐大道; 明孝陵5号门; 网红机位桥; 长生鹿苑; 音乐台; 灵谷寺路; 新街口; 丰富路; 南台巷; 先锋书店; 青岛路; 西桥; 颐和路; 玄武湖; 鸡鸣寺; 总统府; 夫子庙; 老门东; 大报恩寺; 万象天地; 熙南里; 国创园; 梦幻城,梧桐树; 湖泊; 植被
浦口火车站,
长江之恋游轮; 长江大桥; 五马渡广场; 达摩古洞; 燕子矶公园,长江; 长江大桥; 波光粼粼; 船尾余波; 阳光
南京下关火车站旧址; 中山码头; 玻璃栈道; 长江大桥,长江; 滩涂; 芦苇荡; 多云天气; 阳光
南京百家湖1912街区,江面; 日落; 天空; 水体倒影
南京长江大桥; 玻璃栈道; 南堡公园; 南京铁路会议中心,长江; 日出; 日落
浦口火车站; 浦口码头; 下关火车主题公园; 铁路栈桥旧址,芦苇; 江面
南京北站,
下关火车主题公园; 长江大桥玻璃栈道,长江; 江风; 落日; 天空
中山码头,
浦口火车站; 浦口码头; 中山码头; 民国首都电厂旧址公园; 江豚书屋; 下关火车主题公园; 长江大桥玻璃栈道,长江; 江景; 落日
下关火车主题公园; 燕子矶公园; 五马渡广场; 鱼嘴湿地公园; 灯塔; 明城墙,长江; 江面; 日落; 晚霞; 江风
国民政府海军总司令部旧址; 浦口火车站; 南京北站; 朱自清《背影》主题乐园; 励志社; 钟山宾馆; 中央体育场旧址; 南京体育大学,
吾悦; 万达,江
玻璃栈桥; 长江大桥; 大桥南堡公园,草地; 石头; 柳树; 江风; 草木气息; 阳光; 落日
,
音乐台; 中山植物园; 明孝陵; 中山陵; 燕雀湖; 南京博物院; 遇难同胞纪念馆; 夫子庙; 老门东; 马道街; 万象天地; 艾尚天地; 梧桐大道; 陵园路,水杉; 睡莲; 梧桐树
中山码头; 浦口码头,
101明潮里; 阅江楼景区,银杏树; 秋景; 山体
南堡公园; 下关西火车主题公园,
南京下关滨江区域（推测）,长江; 江水
中山码头,
滨江公园; 南京眼步行桥,长江; 江风
下关滨江,长江; 风
长江大桥; 玻璃栈道,长江; 江面; 阳光; 天空
鼓浪屿; 三丘田码头; 厦门轮渡码头; 东渡客运码头; 蕞美转角; 风琴博物馆; 八卦楼; 管风琴艺术中心; 龙头路小吃街; 日光岩; 菽庄花园; 钢琴博物馆; 大德记海水浴场; 皓月园; 八市; 中山路步行街,海岛; 海湾; 沙滩; 双子塔背景; 海平面; 郑成功雕像
阅江楼; 狮子山; 南京长江大桥; 中山码头,狮子山; 长江
下关火车主题公园,长江; 江风; 落日
长江大桥玻璃栈道,长江
长江大桥; 玻璃栈道; 桥头堡; 大桥公园; 望江亭,长江; 江风; 日落; 知了叫声
下关滨江; 玻璃栈道,长江; 落日; 江面; 风
中山码头; 浦口码头; 下关火车主题公园; 江豚观赏地; 玻璃栈桥,长江; 日落
下关火车主题公园; 江豚观测点; 江豚书屋; 中山码头; 浦口火车站,江边; 落日; 夜景; 江风
江边码头,
鼓楼滨江; 下关火车主题公园; 映红桥; 阅江楼; 拉萨路小学(方兴校区); 金陵汇文中小学(规划); 南京西站; 方家营站; 大观天地MALL; ITC; 和记洋行; 深业漫埠; 南医大二附医院(阅江楼院区),滨江景观带; 阅江楼景观视野
上元门站; 德国马牌轮胎; 玻璃栈道,落日
长江大桥,落日; 长江
铁路轮渡旧址; 长江大桥,长江; 江面; 阳光
,
颐和路; 先锋书店; 茶南大街; 侵华日军南京大屠杀遇难同胞纪念馆; 长江大桥; 玻璃栈道; 南堡公园; 中山码头,
长江大桥; 玻璃栈道; 宝塔桥西街; 南京长江大桥纪念馆; 大桥公园; 金川河,长江; 金川河; 夕阳; 江景; 天气
下关火车主题公园,江边
,
中山码头; 浦口码头; 长江大桥; 江心洲; 江北核心区; 浦口火车站,长江; 江水; 江豚; 太阳; 落日
中山码头; 浦口码头; 浦口老火车站; 扬子江生态公园; 民国首都电厂旧址公园; 长江大桥玻璃栈道; 下关西,长江; 江面; 夕阳; 晚霞; 江风; 云; 阅江楼倒影
中山码头; 小鱼馆,太阳; 日出
浦口火车站,
下关西火车主题街区,夕阳; 晚霞; 微风
长江大桥; 玻璃栈道; 南堡公园,晚霞; 日落; 长江
中山码头; 浦口火车站; 夫子庙; 秦淮河; 老门东,长江; 落日; 江面; 秦淮河
中山码头; 浦口码头; 长江大桥,长江; 长江大桥（自然与人工结合）
长江大桥; 大桥南堡公园; 玻璃栈道; 下关火车主题公园; 铁路轮渡旧址; 中山码头; 浦口火车站; 南京西站,长江; 江面; 江豚; 日落; 天空
南京西站,
南京长江大桥; 玻璃栈道; 大桥南堡公园,长江
中山码头,
鱼嘴湿地公园; 灯塔; 江豚广场; 梅花林; 森林栈道; 芦苇荡,长江; 日落; 江风; 芦苇荡; 梅花林; 湿地
下关火车主题公园,长江; 日落
浦口火车站; 中山码头,长江; 阴雨天气
民国首都电厂旧址,
长江大桥; 玻璃栈道; 上元门站; 南堡公园西站; 金川河,金川河
下关; 浦口车站; 铁路轮渡旧址,长江; 江水
中山码头; 民国首都电厂旧址公园; 民国海军医院旧址; 下关火车主题公园; 玻璃栈道; 映红桥; 南京长江大桥,江面; 货物船只; 长江
下关西火车主题街区; 大马路民国风情街; 中山码头; 南京长江大桥; 阅江楼风景区; 绣球公园,长江; 落日; 蓝天白云; 绣球花
下关火车主题公园; 中山码头; 滨江步道; 玻璃栈道; 长江大桥,长江; 江面; 落日; 天空; 风
长江大桥,
中山码头,长江; 日落
中山码头; 浦口火车站,
中山码头; 大马路,江面; 晚霞
长江大桥玻璃栈道; 中山码头; 浦口码头; 浦口火车站; 大马路,长江; 长江大桥
下关火车主题公园; 南京西站; 浦口火车站,长江; 江风; 落日
长江大桥; 玻璃栈道; 南京地铁3号线（上元门站）; 南堡公园,江面; 日落
长江大桥; 南堡公园,长江; 江面; 落日; 风; 天空
中山码头; 浦口码头; 扬子江生态公园; 浦口火车站,长江; 波光粼粼; 橘子海日落
浦口火车站; 浦口码头; 中山码头,无法判断
四平路; 新民路; 护城河南路; 南京财经大学（福建路校区）; 西妙峰庵路; 中山北路; 新民门; 南湖; 红庙; 三七八巷,护城河
中山码头; 浦口码头,
,
下关火车主题公园,冬日阳光
,
南京大字墙; 鸡鸣寺; 报恩寺; 秦淮河; 梧桐大道; 音乐台; 颐和路; 西桥; 玄武湖; 银杏湖; 锦创书城; 越界梦幻城,梧桐树; 柳树; 郁金香; 樱花; 落日; 沙滩; 湖水; 草坪; 花海
下关滨江; 玻璃栈道,
江边路欢乐大舞台,长江; 日落; 江面; 风
鼓楼; 牯岭路; 西桥; 鼓楼滨江; 长江大桥; 铁路轮渡旧址,秋风; 秋意; 长江航道
中山码头; 浦口火车站; 下关电厂遗址公园; 江豚观赏地; 下关历史陈列馆; 下关火车主题公园; 长江大桥,江风; 波光粼粼; 江面; 阳光; 日落; 江豚
下关火车主题公园,长江; 芦苇
中山码头; 京艺术中心,长江; 江面; 风
中山码头,
下关滨江,长江
下关火车主题公园,长江; 风
南京北站,天气
滨江大道,长江; 风; 温度变化
,
夕Space落日餐厅,阳光
下关火车主题公园,日落; 晚霞
民国首都电厂旧址公园,长江; 江面; 落日; 天空; 晚霞
中山码头; 浦口码头; 南京长江大桥; 阅江楼,江风; 长江
长江大桥; 大桥南堡公园,河流; 落日
下关西火车站; 民国首都电厂旧址公园; 中山码头,长江; 日落; 晚霞
民国首都电厂旧址公园; 南京下关历史陈列馆; 中山码头,长江
,
中山码头; 浦口码头; 浦口火车站旧址; 大马路,长江; 夕阳; 晚霞
长江大桥; 玻璃栈道,长江; 日落
,
中山码头; 浦口码头,长江; 天光水影; 晚霞; 风; 江涛声
,
中山码头; 浦口,阳光; 光斑
,
中山码头; 浦口码头,
南京长江大桥; 玻璃栈道; 南堡公园; 望江亭,长江; 江面; 江风; 落日; 晚霞; 蓝调天空
下关火车主题公园,长江大桥; 芦苇; 日出; 日落
下关火车主题公园; 民国首都电厂旧址公园; 中山码头; 浦口码头,长江; 日落
南京西站; 津浦书院,江风
无法判断,春雷; 芳华; 植被
中山码头,天气
中山码头; 浦口码头,长江; 阴天; 日落（假设）
下关火车主题公园,落日
中山码头; 浦口码头; 民国首都电厂旧址; 铁路轮渡旧址; 下关火车主题公园; 南堡公园; 玻璃栈道; 长江大桥; 南京北站,长江; 日落; 江面; 晚风
长江大桥; 中山码头; 下关火车主题公园; 铁路轮渡旧址; 玻璃栈道; 江豚观赏地,长江; 江面; 落日; 江豚; 风
热河路; 正丰街; 公共路; 长江航道局,
浦口码头; 中山码头; 大窝子码头; 兴浦路; 津浦茶水铺,
浦口,
中山码头; 金陵船厂; 金川河; 三岔河; 河西,长江; 金川河
映虹桥; 网红亲水玻璃栈桥; 宝塔桥; 望江亭; 江边路,长江; 江面; 落日; 晚霞; 水位上涨
,
浦口火车站,
下关火车主题公园,
下关火车主题公园,
中山码头; 浦口码头; 民国首都电厂旧址公园; 江豚观赏地; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈道,长江; 日落; 江豚; 波光粼粼的江面; 风
浦口火车站; 中山码头,燕子
南京长江大桥,长江
,
南京北站; 浦口码头; 扬子江生态公园,江岸线
轮渡桥滩公园,长江
长江大桥; 下关滨江,夕阳; 长江
南京长江大桥; 南堡公园; 玻璃栈道,
长江大桥; 大桥南堡公园; 玻璃栈道,长江; 落日; 江面
中山码头; 浦口码头; 南京北站,长江; 日落
长江大桥南堡公园; 中山码头; 海豚观景区; 下关火车主题公园,长江; 落日; 夜景; 风; 水面倒影
,
南京四桥; 金陵石化; 南京栖霞山大桥,长江; 江面; 日落; 蓝调时刻
,
长江大桥,长江; 晚霞
,夏季夜晚
南京站; 玄武湖; 鸡鸣寺; 总统府; 科巷美食街; 老门东; 夫子庙; 中山陵; 音乐台; 明孝陵; 南京博物院; 阅江楼; 长江大桥,湖; 山陵; 江
鼓楼江滨; 中山码头,江风
中山码头; 民国首都电厂旧址公园; 南京下关历史陈列馆; 下关火车主题园; 南堡公园玻璃栈桥; 浦口火车站,长江; 风
下关滨江; 长江大桥,长江; 江面; 风; 芦苇丛
,
中山码头; 大马路; 民国邮政大厦; 下关老电厂,长江
南京长江大桥南堡公园; 玻璃栈道; 长江大桥; 望江亭,长江; 长江水; 天气; 绿柳
下关滨江岸线; 江边路7-11店,江面
,
渡江胜利纪念馆; 红云桥; 中山码头; 江豚书屋; 火车头公园; 南堡公园; 玻璃栈道; 长江大桥,晚霞; 云朵; 长江; 江水; 老鹰; 夕阳
中山码头; 浦口码头,
下关滨江,长江; 江面; 落日; 夕阳; 波光
101明潮里; 中山码头; 民国首都电厂旧址; 下关火车主题公园; 静海寺; 天妃宫; 仪凤门; 阅江楼,狮子山
中山码头; 浦口火车站,阳光; 海滨城市般的氛围
中山码头; 长江大桥; 大桥南堡公园,夕阳; 江风; 沿江步道
中山码头; 浦口码头; 老浦口火车站; 遇难同胞纪念碑; 民国海军医院旧址; 铁路轮渡栈桥旧址; 阅江楼; 狮子山广场; 朱元璋像,长江; 江面; 山体; 登山路周边植被
中山码头北; 下关火车主题公园,
中山码头; 南京长江大桥; 桥北滨江生态公园,长江; 日落; 蓝调时刻天空
浦口火车站; 南京北站,
洲头公园; 南京长江大桥; 南京长江二桥,长江; 江面; 芦苇; 礁石; 风; 夕阳; 江鸟
中山码头,
长江大桥,长江; 江面; 水流
长江大桥,江风
中山码头; 浦口码头; 南京北站,长江; 晚风; 夕阳; 余晖; 波光粼粼
颐和路; 紫峰大厦; 先锋书店; 颐和书馆; 宁海中学,梧桐树; 阳光; 秋叶
午朝门公园; 总统府煦园; 富贵山登城口; 绣球公园; 古林公园; 中山植物园北园; 雨花台丁香园; 下马坊博爱路; 阅江楼; 中山码头; 南京博物院,木绣球; 青翠碧绿植被; 天际线; 河流; 植物园; 丁香
南京南站; 下关火车主题公园; 百家湖1912; 夫子庙东园桥,
下关火车主题公园; 长江大桥,长江
鼓楼滨江; 下关火车主题公园; 和记洋行; 狮子山; 卢龙湖; 大洪池生态公园; 静海寺; 天妃宫; 阅江楼景区,长江; 滨江风光带; 狮子山; 卢龙湖; 大洪池生态公园
夕Space落日餐厅,落日
,
下关火车主题公园; 铁路轮渡旧址; 滨江风光带; 中山码头; 张林烧烤; 大观天地MALL; 阅江楼,长江; 日落
下关火车主题公园; 南京长江大桥玻璃栈道; 中山码头; 浦口码头; 桥北万象汇; 南京北站旧址; 近代建筑风貌区,长江; 江风
下关火车主题公园; 铁路轮渡栈桥旧址; 中山码头; 浦口码头; 浦口火车站; 长江大桥玻璃栈道; 江豚观赏点; 民国首都电厂旧址公园; 阅江楼,江岸; 波光粼粼的水面; 芦苇荡; 阳光; 日落; 碎石滩
中山码头; 浦口火车站; 南京北站,
浦口火车站; 中山码头,
,
长江大桥,长江
无法判断,云雾
中山码头; 浦口码头; 浦口火车站; 阅江楼; 绣球公园; 长江大桥,长江; 日落; 天空
长江大桥; 大桥南堡公园; 玻璃栈道,长江; 江风; 蚊子; 江边步道
鼓楼滨江风光带,长江; 景观
长江大桥,长江; 江面; 波涛
中山码头; 浦口码头,长江; 日落
中山码头,
渡江纪念馆,江面
中山码头; 浦口码头; 老火车站,傍晚光影
浦口火车站,长江
中山码头; 浦口码头; 浦口火车站; 民国首都电厂旧址公园; 民国海军医院旧址; 下关火车主题公园,
中山码头; 大桥公园,长江; 江面; 夕阳; 梧桐树; 芦苇; 风; 狗狗
下关火车主题公园; 欢乐舞台; 江豚观赏地; 中山码头,长江; 江面; 落日; 蔷薇; 梧桐树; 江豚
,
无法判断,无法判断
浦口火车站; 大马路,
中山码头; 浦口火车站,
浦口火车站; 浦口码头; 中山码头; 轮渡; 玄武湖; 解放门; 菱洲; 环洲; 樱洲; 梁洲; 翠洲; 雨花台; 城墙博物馆; 老门东; 白鹭洲公园; 华昌龙谷,夕阳; 石楠花; 植被; 樱花; 湖景; 天气
南京长江大桥; 南堡公园玻璃栈道,长江; 落日; 天空
南堡公园; 阅江楼; 长江大桥; 玻璃栈道,长江; 江风; 夜晚
南京长江大桥; 中山码头; 民国海军医院旧址; 浦口火车站; 德国马牌轮胎（森其步商贸店）; 玻璃栈道,江风; 江面; 落日; 夜景灯光; 黑暗环境
浦口码头; 中山码头; 浦口火车站; 南京北站旧址; 扬子江生态公园,长江; 晚霞; 江风; 梧桐树
南京长江大桥; 玻璃栈道; 南堡公园; 中山码头; 火车轮渡旧址,长江; 落日; 日落余晖; 江风; 夜空; 星辰
浦口火车站,蝉鸣; 雨声; 树叶声; 艾草; 麦苗汁; 春天气息
民国首都电厂旧址公园; 下关火车主题公园; 铁路轮渡旧址,长江
下关江边; 7-11江边路店,江边
中山码头; 浦口码头; 南京北站; 浦口火车站; 南京长江大桥,长江; 江面; 雨
中山码头; 浦口码头; 浦口火车站,长江; 江水; 夕阳
中山码头; 浦口码头; 燕子矶码头; 八卦洲码头; 棉花堤渡口; 旗杆渡口,
浦口火车站; 中山码头,阳光
长江大桥; 下关火车主题公园,长江
下关火车主题公园,
南京长江大桥,长江; 江面
鼓楼滨江; 夕Space落日餐厅; 中山码头,日落
长江大桥; 河西CBD; 阅江楼,长江; 江面; 天空
下关火车主题公园,阳光; 江面
中山码头; 浦口码头,长江
下关火车主题园; 栈桥旧址; 江边路; 江豚观赏点; 首都电厂旧址; 中山码头; 浦口码头; 浦口火车站,长江; 江豚; 夕阳; 江风
民国首都电厂旧址公园; 中山码头,长江; 日落; 晚霞
中山码头; 浦口码头,太阳; 夕阳
,
长江大桥,
中山码头,日落; 光线
中山码头; 浦口码头; 浦口火车站旧址,日落
鼓楼滨江; 鼓楼滨江风光带; 阅江楼; 秦淮河; 方家营; 盐仓桥; 中山北路; 云南路; 上海路,长江; 秦淮河; 山体; 绿植
南京长江大桥,长江; 江面
中山码头; 民国首都电厂旧址; 大马路; 下关火车站旧址; 民国海军医院旧址; 铁路轮渡栈桥旧址; 火车主题公园,长江; 夕阳; 阴天
轮渡,
幕府滨江风光带; 五马渡; 燕子矶广场; 达摩古洞; 滨江铁路; 永济大道; 燕子矶公园; 南京小镰仓网红墩子,长江; 江面; 晨雾; 山景; 春景; 樱花; 野樱花树; 油菜花田; 江风; 落日
渡江胜利纪念馆; 中山码头; 铁路轮渡旧址; 下关火车主题公园; 望江亭; 下关历史陈列馆; 民国海军医院旧址; 长江大桥; 定淮门电视塔; 世茂滨江,长江; 秦淮河
民国海军医院旧址; 江边路46号; 江边路48号; 急诊部; 住院部; 瞭望塔,长江; 斜阳; 落日; 秋天; 落叶
下关滨江,长江; 江面; 落日; 天空; 风
中山码头; 大桥; 金陵船厂; 幕燕风光带,长江; 江岸
南京下关; 长江大桥,长江; 晚霞
民国海军医院旧址,江畔
下关江豚基地,月亮
鼓楼滨江; 鼓楼中海滨江; 南堡公园; 大观天地; 龙湖天街,长江; 落日; 江风
下关火车主题公园; 铁路轮渡旧址; 民国海军医院旧址; 下关历史陈列馆; 江豚观赏地; 民国首都电厂旧址公园; 中山码头,长江大桥; 江豚; 滨江自然景观
中山码头; 浦口码头; 民国首都电厂旧址公园; 江豚观赏地; 民国海军医院旧址; 铁路轮渡栈桥旧址; 下关火车公园; 长江大桥玻璃栈道,长江; 日落; 江豚; 风
无法判断,无法判断
鼓楼滨江; 民国海军医院旧址,长江; 落日; 春花; 太阳; 风
下关火车主题公园,江风
下关火车公园; 南京长江大桥; 下关火车站; 南京西站,太阳; 日落; 长江; 江面
南京长江大桥; S8长江大桥北站; 刘伯承广场,江面
中山码头; 浦口码头; 老火车站,
,
长江微笑驿站; 红云桥; 长江大桥,长江; 江面; 风; 霾
1934文化产业园; 南化化机厂旧址; 永利铔厂旧址; 南化公司大院,
南京西站,长江; 江风; 货轮
下关火车主题公园; 铁路轮渡旧址,长江
长江大桥玻璃栈道; 南京长江大桥; 南堡公园,
中山码头; 长江大桥,长江; 江面; 夕阳; 波光粼粼
浦口火车站,
,
无法判断,桂花
鼓楼滨江; 幕燕风光带,长江边
长江大桥,长江
长江大桥玻璃栈道; 下关滨江商务区综合执法站,长江; 日落; 蓝调时刻; 风
,阳光; 冬日
下关滨江商务区; 南京西站; 郭家山机辆设施; 江望润府; 滨江0227地块,
南堡公园; 大桥公园; 下关火车主题公园; 民国海军医院旧址,长江大桥; 落日; 光线
浦口火车站,
下关火车主题园; 长江大桥,长江; 江面; 落日; 天空; 芦苇; 晚风; 江豚
,
浦口火车站,
浦口火车站,
挹江门; 仪凤门; 下关火车主题公园; 长江,长江; 桂花香; 天气; 秋天
,
滨江公园,长江; 江边; 落日; 天空
江北新区滨江风光带; 江北新区公共工程建设中心,美人梅; 长江
长江大桥玻璃栈道,长江; 夏天
下关火车主题公园; 南京铁路轮渡栈桥旧址,
大唐南京电厂; 下关电厂; 马渡村新厂区; 恒大滨江; 下关电厂旧址口袋公园,长江
鼓楼滨江,滨江步道
101明潮里; 金陵墙; 下关墙; 阅江楼; 中山码头; 民国首都电厂旧址公园; 江豚观测点; 民国海军医院旧址; 下关火车主题公园; 南京长江大桥玻璃栈道,长江; 日落; 芦苇丛; 江面
中山码头; 浦口码头; 铁路轮渡栈桥旧址; 南京长江大桥; 玻璃栈道; 江豚观赏地,长江; 江豚; 夕阳/日落
扬子江公园; 浦口火车站; 浦口码头; 中山码头; 下关火车主题公园,夕阳; 松树; 礁石; 江景
中山码头; 浦口码头; 浦口火车站; 民国首都电厂旧址; 江豚观赏地; 大马路,长江; 江水; 江豚; 阳光; 落日; 蓝调时刻; 梧桐树
民国首都电厂旧址公园,
南京西站; 下关火车主题公园,长江; 江面; 货船
南京长江大桥; 中山码头; 大桥南桥头堡; 南京长江大桥纪念馆,长江; 江面; 落日; 天空
长江大桥; 大桥南堡公园; 玻璃栈道,长江; 江面; 风景
长江大桥; 大桥南堡公园; 玻璃栈道,长江
浦口码头; 浦口公园; 浦口火车站旧址,太阳; 落日
,
,
夕Space落日餐厅,
鼓楼下关滨江风光带; 中山码头,长江; 江风
南京滨江风光带,长江; 江面; 天空; 云彩; 风
下关火车主题公园; 长江大桥; 民国铁路轮渡栈桥旧址,长江; 江面; 风
下关火车主题公园; 下关滨江,长江; 日落; 江风; 货船
中山码头; 浦口码头; 浦口火车站; 桥北滨江生态公园; 桥北万象汇; 南京长江大桥,长江; 日落; 橘子海; 大桥亮灯; 紫峰大厦; 阅江楼
下关滨江; 灯塔,长江; 江面; 落日; 风
民国海军医院旧址,
民国首都电厂旧址公园; 中山码头; 长江大桥; 浦口火车站,长江; 江面; 天空
下关西火车主题街区; 大马路; 中山码头; 南京长江大桥; 阅江楼风景区; 绣球公园; 江豚观赏地,长江; 江面; 落日; 江豚; 草地; 河岸
浦口火车站,天气
上元门站; 南堡公园西站; 大桥公园; 亲水玻璃栈桥,
,天空; 风景
南京长江江豚城市公园; 长江微笑驿站; 江豚观测点,长江; 江豚
长江大桥,长江
长江大桥,
浦口火车站,
中山码头,天空; 太阳; 晚霞; 落日
,
下关火车主题公园,
下关火车主题公园,阳光; 树木
江边路6号; 长江大桥; 江豚书屋; 火车头公园; 玻璃栈道; 中山码头; 民国首都电厂旧址; 彩云桥,长江; 阳光; 微风; 轮船; 晚霞; 老鹰; 秋天
中山码头; 民国首都电厂旧址公园,
民国首都电厂; 铁路轮渡栈桥,
长江大桥,长江
下关火车主题公园,太阳
龙虎巷; 津浦铁路; 浦镇车厂; 虎山街; 民安巷; 如意巷; 进德巷; 同义巷; 居仁巷,法桐
滨江风光带; 启龙公园,
中山码头; 浦口码头; 浦口火车站; 南京艺术中心; 民国首都电厂旧址公园; 江豚观测点,江风; 夕阳; 晚霞; 江豚; 夏夜
下关火车主题公园,长江; 江面; 落日; 天空; 风
郑和北路; 民国海军医院旧址; 阅江楼; 郑和中路; 长江大桥,
下关火车主题公园; 7-11江边路店（推测为咖啡店位置）,
长江大桥玻璃栈道; 中山码头; 浦口火车站; 下关火车主题公园; 铁路轮渡旧址,长江; 江风
中山码头; 浦口火车站; 浦口码头; 扬子江生态公园; 浦口公园; 大马路; 民国首都电厂旧址公园,落日
夕Space落日餐厅,
民国首都电厂旧址公园,
民国首都电厂旧址公园,
下关火车主题公园,
中山码头; 浦口码头,长江; 日落
中山码头; 浦口码头,江面; 晚霞; 天气
南京西站; 浦口火车站,
大桥南堡公园; 下关火车主题公园; 津浦书店; 南京西站,长江; 江边风景
浦口火车站,江边
灵谷公园; 灵谷寺; 灵谷塔; 无梁殿; 南湖东路; 秦淮河大桥; 金鹰美术馆,植被; 云雾; 树木; 晚风; 城市建筑虚影
民国首都电厂旧址公园; 中山码头; 金陵电灯官厂; 西华门外; 两江总督署; 秦淮河; 南洋劝业会会址; 丁家桥; 三牌楼; 玄武门; 将军庙口,秦淮河
中山码头; 浦口火车站; 江豚观赏地; 民国海军医院旧址,长江; 江风; 太阳
中山码头,长江; 落日
浦口码头; 南京北站; 浦口火车站; 滨江观景平台; 长江大桥; 阅江楼; 紫金山; 紫峰大厦,夕阳; 长江; 紫金山
鼓楼公园; 长江大桥; 大桥南堡公园; 玻璃栈道,
下关火车主题公园,江边; 阴天自然光; 江景
扬子饭店; 中山码头; 民国首都电厂旧址公园; 长江大桥玻璃栈道,长江; 江面
大马路; 浦口火车站,
长江大桥玻璃栈道,长江; 江面
无法判断（文本未提及南京下关滨江相关地点）,无法判断
中山码头; 浦口码头,长江; 江风; 落日; 天空
挹江门; 绣球公园; 小桃园; 中山码头; 民国首都电厂旧址公园; 下关火车主题公园; 长江大桥玻璃栈桥,长江; 河流; 绣球花; 桃花; 芦苇荡; 波光粼粼的水面; 日落
长江大桥; 玻璃栈道; 宝塔桥,长江; 金川河
保利大剧院; 南京眼; 鸡鸣寺; 解放门; 紫峰大厦; 华利大厦; 达美乐比萨; 东园桥; 市第一医院; 金鹰世界G酒店; 宁海中学; 珠江路地铁站; 鼓楼医院; 户部街; 江苏大剧院; 南京站; 青奥博爱之都篮球公园; 新城广场,
下关火车主题公园; 中山码头,阳光; 秋日天气
下关火车主题公园; 铁路轮渡栈桥旧址; 江豚观赏地; 民国首都电厂旧址; 中山码头; 浦口码头,长江; 江豚
,
浦口火车站; 中山码头; 浦口公园,春天; 花瓣; 艾草; 麦苗汁; 蝉叫; 雨声
浦口火车站; 中山码头; 浦口码头,长江; 夕阳
玻璃栈道; 大桥南堡公园; 长江大桥,长江; 晚霞; 太阳
轮渡,长江
,
下关火车主题公园,长江; 落日
下关火车主题公园; 中山码头; 浦口码头,长江; 长江风景
,
下关; 长江,长江; 黑耳鸢
南京,晚霞; 天空
南京长江大桥; 浦口火车站; 南堡公园; 玻璃栈道,江边; 日落; 长江
,
无法判断,无法判断
中山码头,长江; 日落; 天空
,
下关西火车主题街区; 涵江苑,长江; 江景
丹河电厂; 国营480厂; 常平乡; 沁阳; 博爱,太行山; 丹河
长江大桥,长江
无法判断,无法判断
下关火车主题公园; 铁路轮渡旧址; 南京西站,江景
浦口火车站; 浦口北站旧址; 大马路,
浦口火车站; 大马路; 金石艺术展,
,天气
长江大桥,
民国海军医院旧址; 中国银行南京分行旧址,
ITC MALL; 中山码头; 渡江胜利纪念碑广场; 大观天地MALL; 红跑车; 深圳福田星河COCO Park; 茶颜悦色,
下关滨江,长江; 落日; 江面
夕Space落日餐厅,长江; 落日
下关西火车主题街区,长江; 江景
下关,长江
中山码头; 民国首都电厂旧址公园; 大马路; 铁路轮渡栈桥旧址; 下关火车主题公园; 玻璃栈道; 长江大桥,长江; 江面; 日落; 江风; 梧桐树
浦口火车站,
下关铁路主题公园,长江; 晚霞; 旷野; 花丛; 江水; 落日余晖
南京长江大桥,夕阳
中山码头; 民国首都电厂旧址公园,长江; 落日
江边,长江; 落日; 土地
浦口火车站; 南京北站,
扬子江公园; 扬子江国际会议中心; 扬子保利江韵瑧悦; 浦口火车站旧址,长江; 江面; 落日; 天空; 银杏树
江边,长江; 江面
下关火车主题公园,长江; 江面; 落日; 天空; 芦苇; 沙滩; 碎石; 轮船
下关滨江,长江; 江面; 日落; 天空; 风
狮子山; 长征医院; 天妃宫; 扬子饭店; 中山码头; 电厂旧址; 南京长江大桥; 下关街道; 阅江楼街道; 101明潮里; 江南水师学堂; 静海寺; 李时珍采药处,长江; 秦淮河; 上新河; 中新河; 下新河; 狮子山
下关火车主题公园,
浦口火车站; 浦口码头; 扬子江生态公园; 南京北站; 中山码头,长江; 江风; 夜空; 月亮
,
下关火车主题公园; 长江大桥,长江; 江边; 江滩; 江水; 日落; 夕阳; 冬季气候
中山码头; 浦口码头; 扬子江集市,长江; 江景; 日光
,
栈桥,
滨江风光带,长江; 江面; 落日; 天空
中山码头; 浦口码头; 南京北站; 江豚观赏地,长江; 小岛; 江豚; 中华木绣球
下关火车主题公园; 长江大桥; 中山码头; 南京西站,长江; 江面; 天空
江边的公园,江岸线; 石头; 江
